ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;salas_lançamento;maximo_salas_ocupadas;publico_acumulado;renda_acumulada
2016;De Amor e Trevas;Ficção;Estados Unidos, Israel;Estrangeiros;05/05/2016;Fênix Filmes;32;32;22176;339839.73
2017;Manifesto;Ficção;Alemanha;Estrangeiros;26/10/2017;Alphaville Filmes;32;32;15337;238534.84
2017;Inseparáveis;Ficção;Argentina;Estrangeiros;01/06/2017;Paris;32;32;5237;92690.79
2017;Travessia;Ficção;Brasil;Brasileiros;23/03/2017;O2 Play;32;32;4590;60574.27
2017;O Ornitólogo;Ficção;Brasil, França, Portugal;Brasileiros;30/03/2017;Vitrine Filmes;32;32;4453;30976.85
2017;Corpo delito;Documentário;Brasil;Brasileiros;07/12/2017;Vitrine Filmes;32;32;1431;9748.31
2011;Caminho da liberdade;Ficção;Emirados Árabes Unidos, Estados Unidos, Polônia;Estrangeiros;13/05/2011;Califórnia;31;31;36112;411984.02
2012;Pina;Documentário;Alemanha, França, Reino Unido;Estrangeiros;23/03/2012;Imovision;31;31;100085;1595341.76
2013;Questão de Tempo;Ficção;Estados Unidos;Estrangeiros;06/12/2013;Universal;31;31;153710;1964490.75
2013;Jorge Mautner - O Filho do Holocausto;Documentário;Brasil;Brasileiros;01/02/2013;H2O Films;31;31;9690;102831.13
2015;Ruth & Alex;Ficção;Estados Unidos;Estrangeiros;05/11/2015;Alphaville Filmes;31;31;21847;320683.1
2016;13 Minutos;Ficção;Alemanha;Estrangeiros;03/11/2016;Alphaville Filmes;31;31;15418;221014.82
2016;Para Sempre (2016);Ficção;Estados Unidos;Estrangeiros;08/12/2016;Cazion Films Brasil;31;31;13042;184275.65
2016;Michelle e Obama;Ficção;Estados Unidos;Estrangeiros;08/12/2016;Imagem;31;31;9535;164534.14
2016;Últimos dias no deserto;Ficção;Estados Unidos;Estrangeiros;08/09/2016;Alphaville Filmes;31;31;7577;117607.71
2016;Terra Estranha;Ficção;Austrália;Estrangeiros;13/10/2016;Imovision;31;31;7456;113192.74
2017;T2: Trainspotting;Ficção;Reino Unido;Estrangeiros;23/03/2017;Sony;31;31;49801;888761.29
2017;Insubstituível;Ficção;França;Estrangeiros;09/03/2017;Cineart Filmes;31;31;25720;361769.51
2017;O reencontro;Ficção;França;Estrangeiros;27/07/2017;Alphaville Filmes;31;31;21239;281192.99
2017;Bom comportamento;Ficção;Estados Unidos;Estrangeiros;19/10/2017;Paris;31;31;14501;233888.01
2009;Tinha que Ser Você;Ficção;Estados Unidos;Estrangeiros;19/06/2009;Imagem;30;30;159870;1541754.26
2009;A Trilha;Ficção;Estados Unidos;Estrangeiros;27/11/2009;Imagem;30;30;42981;329708.59
2009;Terra;Documentário;Estados Unidos;Estrangeiros;22/04/2009;Sony;30;30;27236;202069.5
2010;O Pequeno Nicolau;Ficção;França;Estrangeiros;02/07/2010;Imovision;30;30;156908;1467970.84
2010;O escritor fantasma;Ficção;França;Estrangeiros;28/05/2010;Paris;30;30;119720;1289039.22
2010;A epidemia;Ficção;Estados Unidos;Estrangeiros;20/08/2010;Imagem;30;30;19901;170960.5
2011;A condenação;Ficção;Estados Unidos;Estrangeiros;28/10/2011;Vinny filmes;30;30;38541;426018.28
2011;Splice – A nova espécie;Ficção;Canadá, Estados Unidos, França;Estrangeiros;04/02/2011;Califórnia;30;30;8769;73724.2
2012;Moonrise Kingdom;Ficção;Estados Unidos;Estrangeiros;12/10/2012;Universal;30;30;49198;588224
2012;Apenas uma Noite;Ficção;Estados Unidos, França;Estrangeiros;15/06/2012;Vinny filmes;30;30;41638;494536.15
2012;O Grande Milagre;Ficção;Estados Unidos, Reino Unido;Estrangeiros;09/03/2012;Universal;30;30;13058;124719
2013;À Procura do Amor;Ficção;Estados Unidos;Estrangeiros;06/12/2013;Fox;30;30;22468;323695
2013;Amor profundo;Ficção;Estados Unidos, Inglaterra;Estrangeiros;10/05/2013;Imagem;30;30;21870;313141.9
2014;Sob a Pele;Ficção;Reino Unido;Estrangeiros;15/05/2014;Paris;30;30;19643;289304.77
2014;Do Lado de Fora;Ficção;Brasil;Brasileiros;15/05/2014;Elo Company;30;30;9274;125226.24
2014;Uma Noite de Crime: Anarquia;Ficção;Estados Unidos, França;Estrangeiros;04/12/2014;H2O Films;30;30;7400;85275.53
2015;O Homem que Elas Amavam Demais;Ficção;França;Estrangeiros;28/05/2015;Alphaville Filmes;30;30;23464;350042.47
2015;Mistress America;Ficção;Estados Unidos;Estrangeiros;19/11/2015;Vitrine Filmes;30;30;18062;275768.33
