left;top;botton;rigth
405;295;420;90
405;295;425;95
405;295;430;100
405;295;435;105
405;295;440;110
405;295;445;115
405;295;450;120
405;295;450;250
405;295;445;255
405;295;440;260
405;295;435;265
405;295;430;270
405;295;425;275
405;295;420;280
405;295;415;285
405;295;410;290
405;295;405;295
405;295;400;300
405;295;390;310
405;295;385;315
405;295;380;320
405;295;375;325
405;295;370;330
405;295;365;335
405;295;360;340
405;295;355;345
405;295;350;350
405;295;345;355
405;295;340;360
405;295;335;365
405;295;330;370
405;295;325;375
405;295;320;380
405;295;315;385
405;295;310;390
410;290;305;395
415;285;305;395
420;280;305;395
425;275;305;395
430;270;305;395
435;265;305;395
440;260;305;395
445;255;305;395
450;250;305;395
455;245;305;395
460;240;305;395
465;235;305;395
470;230;305;395
475;225;305;395
480;220;305;395
485;215;305;395
490;210;305;395
495;205;305;395
500;200;305;395
505;195;305;395
510;190;305;395
515;185;305;395
520;180;305;395
525;175;305;395
530;170;305;395
535;165;305;395
540;160;305;395
545;155;305;395
550;150;305;395
555;145;305;395
560;140;305;395
565;135;305;395
570;130;305;395
575;125;305;395
580;120;305;395
585;115;305;395
590;110;305;395
595;105;305;395
600;100;305;395
605;95;305;395
615;85;305;395
620;80;305;395
625;75;305;395
630;70;305;395
635;65;305;395
640;60;305;395
645;55;305;395
650;50;305;395
655;45;305;395
660;40;305;395
665;35;305;395
670;30;305;395
675;25;305;395
680;20;305;395
685;15;305;395
690;10;305;395
695;5;305;395
700;0;305;395
705;0;305;395
710;5;305;395
715;10;305;395
720;15;305;395
725;20;305;395
730;25;305;395
725;30;305;395
720;35;305;395
715;40;305;395
710;45;305;395
705;50;305;395
700;55;305;395
695;60;305;395
690;65;305;395
685;70;305;395
680;75;305;395
675;80;305;395
670;85;305;395
665;90;305;395
660;95;305;395
655;100;305;395
650;105;305;395
645;110;305;395
640;115;305;395
635;120;305;395
630;125;305;395
625;130;305;395
620;135;305;395
615;140;305;395
610;145;305;395
605;150;305;395
600;155;305;395
595;160;305;395
590;165;305;395
585;170;305;395
580;175;305;395
575;180;305;395
570;185;305;395
565;190;305;395
560;195;305;395
555;200;305;395
550;205;305;395
540;215;305;395
535;220;305;395
530;225;305;395
525;230;305;395
520;235;305;395
515;240;305;395
510;245;305;395
505;250;305;395
500;255;305;395
495;260;305;395
490;265;305;395
485;270;305;395
480;275;305;395
475;280;305;395
470;285;305;395
465;290;305;395
460;295;305;395
455;295;305;395
450;295;305;395
445;295;310;395
440;295;315;395
435;295;320;395
430;295;325;395
420;295;335;395
415;295;340;395
410;295;345;395
405;295;350;395
405;295;355;395
405;295;360;395
405;295;365;390
405;295;370;385
405;295;375;380
405;295;380;375
405;295;385;370
405;295;390;365
405;295;395;360
405;295;400;355
405;295;405;350
405;295;410;345
405;295;415;340
405;295;420;335
405;295;425;330
405;295;430;325
405;295;435;320
405;295;440;315
405;295;445;310
405;295;450;305
405;295;450;175
405;295;445;170
405;295;440;165
405;295;435;160
405;295;430;155
405;295;425;150
405;295;420;145
405;295;415;140
405;295;410;135
405;295;405;130
405;295;400;125
405;295;390;115
405;295;385;110
405;295;380;105
405;295;375;100
405;295;370;95
405;295;365;90
405;295;360;85
405;295;355;80
405;295;350;75
405;295;345;70
405;295;340;65
405;295;335;60
405;295;330;55
405;295;325;50
405;295;320;45
405;295;315;40
405;295;310;35
405;295;305;20
405;290;305;15
405;285;305;10
405;280;305;5
405;275;305;0
405;270;305;5
405;265;305;10
405;260;305;15
405;255;305;20
405;250;305;25
405;245;305;30
405;240;305;35
405;235;305;40
405;230;305;45
405;225;305;50
405;220;305;55
405;215;305;60
405;210;305;65
405;205;305;70
405;200;305;75
405;195;305;80
405;190;305;85
405;185;305;90
405;180;305;95
405;175;305;100
405;170;305;105
405;165;305;110
405;160;305;115
405;155;305;120
405;150;305;125
405;145;305;130
405;140;305;135
405;135;305;140
405;130;305;145
405;125;305;150
405;120;305;155
405;115;305;160
405;110;305;165
405;105;305;170
405;100;305;175
405;95;305;180
405;85;305;190
405;80;305;195
405;75;305;200
405;70;305;205
405;65;305;210
405;60;305;215
405;55;305;220
405;50;305;225
405;45;305;230
405;40;305;235
405;35;305;240
405;30;305;245
405;25;305;250
405;20;305;255
405;15;305;260
405;10;305;265
405;5;305;270
405;0;305;275
405;0;305;280
405;5;305;285
405;10;305;290
405;15;305;295
405;20;305;300
405;30;305;310
405;35;305;315
405;40;305;320
405;45;305;325
405;50;305;330
405;55;305;335
405;60;305;340
405;65;305;345
405;70;305;350
405;75;305;355
405;80;305;360
405;85;305;365
405;90;305;370
405;95;305;375
405;100;305;380
405;105;305;385
405;110;305;390
405;125;305;395
410;130;305;395
415;135;305;395
420;140;305;395
425;145;305;395
430;150;305;395
435;155;305;395
440;160;305;395
445;165;305;395
450;170;305;395
455;175;305;395
460;180;305;395
465;185;305;395
470;190;305;395
475;195;305;395
480;200;305;395
485;205;305;395
495;215;305;395
500;220;305;395
505;225;305;395
510;230;305;395
515;235;305;395
520;240;305;395
525;245;305;395
530;250;305;395
535;255;305;395
540;260;305;395
545;265;305;395
550;270;305;395
555;275;305;395
560;280;305;395
565;285;305;395
570;290;305;395
575;295;305;395
580;295;305;395
585;295;305;395
590;295;310;395
595;295;315;395
600;295;320;395
605;295;325;395
615;295;335;395
620;295;340;395
625;295;345;395
630;295;350;395
635;295;355;395
640;295;360;395
645;295;365;395
650;295;370;395
655;295;375;395
660;295;380;395
665;295;385;395
670;295;390;395
675;295;395;395
680;295;400;395
685;295;405;395
690;295;410;395
695;295;415;395
700;295;420;395
705;295;425;395
710;295;430;395
715;295;435;395
720;295;440;395
725;295;445;395
730;295;450;395
600;295;450;395
595;295;445;395
590;295;440;395
585;295;435;395
580;295;430;395
575;295;425;395
570;295;420;395
565;295;415;395
560;295;410;395
555;295;405;395
550;295;400;395
540;295;390;395
535;295;385;395
530;295;380;395
525;295;375;395
520;295;370;395
515;295;365;395
510;295;360;395
505;295;355;395
500;295;350;395
495;295;345;395
490;295;340;395
485;295;335;395
480;295;330;395
475;295;325;395
470;295;320;395
465;295;315;395
460;295;310;395
445;295;305;395
440;290;305;395
435;285;305;395
430;280;305;395
420;270;305;395
415;265;305;395
410;260;305;395
405;255;305;395
405;250;305;395
405;245;305;395
405;240;305;390
405;235;305;385
405;230;305;380
405;225;305;375
405;220;305;370
405;215;305;365
405;210;305;360
405;205;305;355
405;200;305;350
405;195;305;345
405;190;305;340
405;185;305;335
405;180;305;330
405;175;305;325
405;170;305;320
405;165;305;315
405;160;305;310
405;155;305;305
405;150;305;300
405;145;305;295
405;140;305;290
405;135;305;285
405;130;305;280
405;125;305;275
405;120;305;270
405;115;305;265
405;110;305;260
405;105;305;255
405;100;305;250
405;95;305;245
405;85;305;235
405;80;305;230
405;75;305;225
405;70;305;220
405;65;305;215
405;60;305;210
405;55;305;205
405;50;305;200
405;45;305;195
405;40;305;190
405;35;305;185
405;30;305;180
405;25;305;175
405;20;305;170
405;15;305;165
405;10;305;160
405;5;305;155
405;0;305;150
405;0;305;145
405;5;305;140
405;10;305;135
405;15;305;130
405;20;305;125
405;30;305;115
405;35;305;110
405;40;305;105
405;45;305;100
405;50;305;95
405;55;305;90
405;60;305;85
405;65;305;80
405;70;305;75
405;75;305;70
405;80;305;65
405;85;305;60
405;90;305;55
405;95;305;50
405;100;305;45
405;105;305;40
405;110;305;35
405;115;305;30
405;120;305;25
405;125;305;20
405;130;305;15
405;135;305;10
405;140;305;5
405;145;305;0
405;150;305;5
405;155;305;10
405;160;305;15
405;165;305;20
405;170;305;25
405;175;305;30
405;180;305;35
405;185;305;40
405;190;305;45
405;195;305;50
405;200;305;55
405;205;305;60
405;215;305;70
405;220;305;75
405;225;305;80
405;230;305;85
405;235;305;90
405;240;305;95
405;245;305;100
405;250;305;105
405;255;305;110
405;260;305;115
405;265;305;120
405;270;305;125
405;275;305;130
405;280;305;135
405;285;305;140
405;290;305;145
405;295;305;150
405;295;305;155
405;295;305;160
405;295;310;165
405;295;315;170
405;295;320;175
405;295;325;180
405;295;335;190
405;295;340;195
405;295;345;200
405;295;350;205
405;295;355;210
405;295;360;215
405;295;365;220
405;295;370;225
405;295;375;230
405;295;380;235
405;295;385;240
405;295;390;245
405;295;395;250
405;295;400;255
405;295;405;260
405;295;410;265
405;295;415;270
405;295;420;275
405;295;425;280
405;295;430;285
405;295;435;290
405;295;440;295
405;295;445;300
435;295;450;395
440;295;445;395
445;295;440;395
450;295;435;395
455;295;430;395
460;295;425;395
465;295;420;395
470;295;415;395
475;295;410;395
480;295;405;395
485;295;400;395
495;295;390;395
500;295;385;395
505;295;380;395
510;295;375;395
515;295;370;395
520;295;365;395
525;295;360;395
530;295;355;395
535;295;350;395
540;295;345;395
545;295;340;395
550;295;335;395
555;295;330;395
560;295;325;395
565;295;320;395
570;295;315;395
575;295;310;395
590;295;305;395
595;290;305;395
600;285;305;395
605;280;305;395
615;270;305;395
620;265;305;395
625;260;305;395
630;255;305;395
635;250;305;395
640;245;305;395
645;240;305;395
650;235;305;395
655;230;305;395
660;225;305;395
665;220;305;395
670;215;305;395
675;210;305;395
680;205;305;395
685;200;305;395
690;195;305;395
695;190;305;395
700;185;305;395
705;180;305;395
710;175;305;395
715;170;305;395
720;165;305;395
725;160;305;395
730;155;305;395
725;150;305;395
720;145;305;395
715;140;305;395
710;135;305;395
705;130;305;395
700;125;305;395
695;120;305;395
690;115;305;395
685;110;305;395
680;105;305;395
675;100;305;395
670;95;305;395
660;85;305;395
655;80;305;395
650;75;305;395
645;70;305;395
640;65;305;395
635;60;305;395
630;55;305;395
625;50;305;395
620;45;305;395
615;40;305;395
610;35;305;395
605;30;305;395
600;25;305;395
595;20;305;395
590;15;305;395
585;10;305;395
580;5;305;395
575;0;305;395
570;0;305;395
565;5;305;395
560;10;305;395
555;15;305;395
550;20;305;395
540;30;305;395
535;35;305;395
530;40;305;395
525;45;305;395
520;50;305;395
515;55;305;395
510;60;305;395
505;65;305;395
500;70;305;395
495;75;305;395
490;80;305;395
485;85;305;395
480;90;305;395
475;95;305;395
470;100;305;395
465;105;305;395
460;110;305;395
455;115;305;395
450;120;305;395
445;125;305;395
440;130;305;395
435;135;305;395
430;140;305;395
420;150;305;395
415;155;305;395
410;160;305;395
405;165;305;395
405;170;305;395
405;175;305;395
405;180;305;390
405;185;305;385
405;190;305;380
405;195;305;375
405;200;305;370
405;205;305;365
405;215;305;355
405;220;305;350
405;225;305;345
405;230;305;340
405;235;305;335
405;240;305;330
405;245;305;325
405;250;305;320
405;255;305;315
405;260;305;310
405;265;305;305
405;270;305;300
405;275;305;295
405;280;305;290
405;285;305;285
405;290;305;280
405;295;305;275
405;295;305;270
405;295;305;265
405;295;310;260
405;295;315;255
405;295;320;250
405;295;325;245
405;295;335;235
405;295;340;230
405;295;345;225
405;295;350;220
405;295;355;215
405;295;360;210
405;295;365;205
405;295;370;200
405;295;375;195
405;295;380;190
405;295;385;185
405;295;390;180
405;295;395;175
405;295;400;170
405;295;405;165
405;295;410;160
405;295;415;155
405;295;420;150
405;295;425;145
405;295;430;140
405;295;435;135
405;295;440;130
405;295;445;125
405;295;450;10
405;295;445;15
405;295;440;20
405;295;435;25
405;295;430;30
405;295;425;35
405;295;420;40
405;295;415;45
405;295;410;50
405;295;405;55
405;295;400;60
405;295;390;70
405;295;385;75
405;295;380;80
405;295;375;85
405;295;370;90
405;295;365;95
405;295;360;100
405;295;355;105
405;295;350;110
405;295;345;115
405;295;340;120
405;295;335;125
405;295;330;130
405;295;325;135
405;295;320;140
405;295;315;145
405;295;310;150
405;295;305;165
405;290;305;170
405;285;305;175
405;280;305;180
405;270;305;190
405;265;305;195
405;260;305;200
405;255;305;205
405;250;305;210
405;245;305;215
405;240;305;220
405;235;305;225
405;230;305;230
405;225;305;235
405;220;305;240
405;215;305;245
405;210;305;250
405;205;305;255
405;200;305;260
405;195;305;265
405;190;305;270
405;185;305;275
405;180;305;280
405;175;305;285
405;170;305;290
405;165;305;295
405;160;305;300
405;150;305;310
405;145;305;315
405;140;305;320
405;135;305;325
405;130;305;330
405;125;305;335
405;120;305;340
405;115;305;345
405;110;305;350
405;105;305;355
405;100;305;360
405;95;305;365
405;85;305;375
405;80;305;380
405;75;305;385
405;70;305;390
405;55;305;395
410;50;305;395
415;45;305;395
420;40;305;395
425;35;305;395
430;30;305;395
435;25;305;395
440;20;305;395
445;15;305;395
450;10;305;395
455;5;305;395
460;0;305;395
465;0;305;395
470;5;305;395
475;10;305;395
480;15;305;395
485;20;305;395
495;30;305;395
500;35;305;395
505;40;305;395
510;45;305;395
515;50;305;395
520;55;305;395
525;60;305;395
530;65;305;395
535;70;305;395
540;75;305;395
545;80;305;395
550;85;305;395
555;90;305;395
560;95;305;395
565;100;305;395
570;105;305;395
575;110;305;395
580;115;305;395
585;120;305;395
590;125;305;395
595;130;305;395
600;135;305;395
605;140;305;395
615;150;305;395
620;155;305;395
625;160;305;395
630;165;305;395
635;170;305;395
640;175;305;395
645;180;305;395
650;185;305;395
655;190;305;395
660;195;305;395
665;200;305;395
670;205;305;395
680;215;305;395
685;220;305;395
690;225;305;395
695;230;305;395
700;235;305;395
705;240;305;395
710;245;305;395
715;250;305;395
720;255;305;395
725;260;305;395
730;265;305;395
725;270;305;395
720;275;305;395
715;280;305;395
710;285;305;395
705;290;305;395
700;295;305;395
695;295;305;395
690;295;305;395
685;295;310;395
680;295;315;395
675;295;320;395
670;295;325;395
660;295;335;395
655;295;340;395
650;295;345;395
645;295;350;395
640;295;355;395
635;295;360;395
630;295;365;395
625;295;370;395
620;295;375;395
615;295;380;395
610;295;385;395
605;295;390;395
600;295;395;395
595;295;400;395
590;295;405;395
585;295;410;395
580;295;415;395
575;295;420;395
570;295;425;395
565;295;430;395
560;295;435;395
555;295;440;395
550;295;445;395
415;295;450;395
410;295;445;395
405;295;440;395
405;295;435;395
405;295;430;395
405;295;425;390
405;295;420;385
405;295;415;380
405;295;410;375
405;295;405;370
405;295;400;365
405;295;390;355
405;295;385;350
405;295;380;345
405;295;375;340
405;295;370;335
405;295;365;330
405;295;360;325
405;295;355;320
405;295;350;315
405;295;345;310
405;295;340;305
405;295;335;300
405;295;330;295
405;295;325;290
405;295;320;285
405;295;315;280
405;295;310;275
405;295;305;260
405;290;305;255
405;285;305;250
405;280;305;245
405;270;305;235
405;265;305;230
405;260;305;225
405;255;305;220
405;250;305;215
405;245;305;210
405;240;305;205
405;235;305;200
405;230;305;195
405;225;305;190
405;220;305;185
405;215;305;180
405;210;305;175
405;205;305;170
405;200;305;165
405;195;305;160
405;190;305;155
405;185;305;150
405;180;305;145
405;175;305;140
405;170;305;135
405;165;305;130
405;160;305;125
405;150;305;115
405;145;305;110
405;140;305;105
405;135;305;100
405;130;305;95
405;125;305;90
405;120;305;85
405;115;305;80
405;110;305;75
405;105;305;70
405;100;305;65
405;95;305;60
405;85;305;50
405;80;305;45
405;75;305;40
405;70;305;35
405;65;305;30
405;60;305;25
405;55;305;20
405;50;305;15
405;45;305;10
405;40;305;5
405;35;305;0
405;30;305;5
405;25;305;10
405;20;305;15
405;15;305;20
405;10;305;25
405;5;305;30
405;0;305;35
405;0;305;40
405;5;305;45
405;10;305;50
405;15;305;55
405;20;305;60
405;30;305;70
405;35;305;75
405;40;305;80
405;45;305;85
405;50;305;90
405;55;305;95
405;60;305;100
405;65;305;105
405;70;305;110
405;75;305;115
405;80;305;120
405;85;305;125
405;90;305;130
405;95;305;135
405;100;305;140
405;105;305;145
405;110;305;150
405;115;305;155
405;120;305;160
405;125;305;165
405;130;305;170
405;135;305;175
405;140;305;180
405;150;305;190
405;155;305;195
405;160;305;200
