Ano;Pos.;Clubes;Vitorias;Empates;Derrotas;GolsF/S;Saldo;Qtd_Jogadores;Idade_Media;Estrangeiros;Valor_total;Media_Valor
2011;13;Atletico-GO;12;12;14;50:45:00;5;43;24,3;0;15600000;363000
2011;15;Atletico-MG;13;6;19;50:60;-10;62;24,3;3;83100000;1340000
2011;20;Avai;7;10;21;45:75;-30;77;24,3;1;33730000;438000
2011;14;Bahia;11;13;14;43:49:00;-6;43;23,4;1;20730000;482000
2011;9;Botafogo;16;8;14;52:49:00;3;35;23,4;3;33100000;946000
2011;18;Ceara;10;9;19;47:64;-17;50;25,7;0;25000000;500000
2011;1;Corinthians;21;8;9;53:36:00;17;51;23,6;4;69700000;1370000
2011;8;Coritiba;16;9;13;57:41:00;16;43;23,7;1;14750000;343000
2011;16;Cruzeiro;11;10;17;48:51:00;-3;50;23,5;5;75280000;1510000
2011;7;Figueirense;15;13;10;46:45:00;1;46;23,3;2;14280000;310000
2011;4;Flamengo;15;16;7;59:47:00;12;50;23,2;4;74300000;1490000
2011;3;Fluminense;20;3;15;60:51:00;9;51;23,9;6;60650000;1190000
2011;12;Gremio;13;9;16;49:57:00;-8;59;23,7;4;82550000;1400000
2011;5;Internacional;16;12;10;57:43:00;14;54;24;7;74800000;1390000
2011;11;Palmeiras;11;17;10;43:39:00;4;46;23,6;2;55250000;1200000
2011;10;Santos;15;8;15;55:55:00;0;66;22,3;4;97450000;1480000
2011;6;Sao Paulo;16;11;11;57:46:00;11;51;22,5;3;97450000;1910000
2011;2;Vasco;19;12;7;57:40:00;17;52;23,5;2;49980000;961000
2010;5;Athletico-PR;17;9;12;43:45:00;-2;48;22,8;3;26100000;544000
2010;16;Atletico-GO;11;9;18;51:57:00;-6;36;24,6;0;7800000;217000
2010;13;Atletico-MG;13;6;19;52:64;-12;54;23,9;5;48350000;895000
2010;15;Avai;11;10;17;49:58:00;-9;42;22,7;0;9650000;230000
2010;6;Botafogo;14;17;7;54:42:00;12;55;23,3;3;27150000;494000
2010;12;Ceara;10;17;11;35:44:00;-9;43;25,8;0;10650000;248000
2010;3;Corinthians;19;11;8;65:41:00;24;40;24,1;4;52200000;1310000
2010;2;Cruzeiro;20;9;9;53:38:00;15;34;24,3;1;42200000;1240000
2010;14;Flamengo;9;17;12;41:44:00;-3;46;23,8;5;72900000;1580000
2010;1;Fluminense;20;11;7;62:36:00;26;50;23,5;4;42950000;859000
2010;19;Goias;8;9;21;41:68;-27;47;25,6;0;28250000;601000
2010;4;Gremio;17;12;9;68:43:00;25;36;23,1;1;39300000;1090000
2010;18;Guarani;8;13;17;33:53:00;-20;36;24,6;0;8750000;243000
2010;7;Internacional;16;10;12;48:41:00;7;48;24,5;6;66400000;1380000
2010;10;Palmeiras;12;14;12;42:43:00;-1;35;23,2;2;54300000;1550000
2010;20;Prudente;7;10;21;39:64;-25;32;23;0;7950000;248000
2010;8;Santos;15;11;12;63:50:00;13;34;22,8;1;60450000;1780000
2010;9;Sao Paulo;15;10;13;54:54:00;0;31;25,7;2;74200000;2390000
2010;11;Vasco;11;16;11;43:45:00;-2;36;23,3;1;20800000;578000
2010;17;Vitoria;9;15;14;42:48:00;-6;57;23,5;1;22100000;388000
2009;14;Athletico-PR;13;9;16;42:49:00;-7;35;21,6;3;13800000;394000
2009;7;Atletico-MG;16;8;14;55:56:00;-1;32;23,5;0;16850000;527000
2009;6;Avai;15;12;11;61:52:00;9;36;23,3;0;3450000;96000
2009;15;Botafogo;11;14;13;52:58:00;-6;40;22,6;3;14500000;363000
2009;10;Corinthians;14;10;14;50:54:00;-4;33;22,8;1;43080000;1310000
2009;17;Coritiba;12;9;17;48:60;-12;36;23,1;2;19500000;542000
2009;4;Cruzeiro;18;8;12;58:53:00;5;28;24,5;1;42900000;1530000
