CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
10254592000121;POSTO DE VILLE;RUA JOAO BOSCO MARQUES DE SOUSA,556;;GATO PRETO;SOUSA;PB;Diesel S10;3,799;04/09/2018 09:09
10269693000176;AUTO POSTO PAMPA;AVENIDA PRESIDENTE VARGAS,643;;VILA ARAUJO;PASSO FUNDO;RS;Gasolina C Comum;4,759;25/09/2018 08:35
10269693000176;AUTO POSTO PAMPA;AVENIDA PRESIDENTE VARGAS,643;;VILA ARAUJO;PASSO FUNDO;RS;Diesel S10;3,499;25/09/2018 08:35
10549635000104;AUTO POSTO COLONIAL;AVENIDA MANOEL RUZ PERES,2550;;JARDIM HUBERT;INDAIATUBA;SP;Gasolina C Comum;4,599;13/09/2018 15:17
10549635000104;AUTO POSTO COLONIAL;AVENIDA MANOEL RUZ PERES,2550;;JARDIM HUBERT;INDAIATUBA;SP;Etanol;2,799;13/09/2018 15:17
10549635000104;AUTO POSTO COLONIAL;AVENIDA MANOEL RUZ PERES,2550;;JARDIM HUBERT;INDAIATUBA;SP;Diesel S10;3,599;20/09/2018 07:59
10557748000143;AUTO POSTO ROTA RADIAL LTDA;RUA PIRATININGA,1017;;BRAS;SAO PAULO;SP;Gasolina C Comum;3,989;26/07/2018 20:06
10557748000143;AUTO POSTO ROTA RADIAL LTDA;RUA PIRATININGA,1017;;BRAS;SAO PAULO;SP;Etanol;2,249;26/07/2018 20:06
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Gasolina C Comum;4,299;12/07/2018 17:28
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Etanol;2,999;12/07/2018 17:28
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Diesel S500;3,399;12/07/2018 17:28
10876085000120;AUTO POSTO SAN CRISTOVAO;RUA MONTE ALEGRE,5800;;JARDIM MAIPU;DOURADOS;MS;Diesel S10;3,499;12/07/2018 17:28
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Gasolina C Comum;4,049;08/08/2018 15:00
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Etanol;2,189;08/08/2018 15:00
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Diesel S500;3,129;08/08/2018 15:00
11000641000162;AUTO POSTO TITAN;AVENIDA DUDU FERRAZ,1110;;JARDIM SANTA ROSA;JAU;SP;Diesel S10;3,239;08/08/2018 15:00
11300950000158;AUTO POSTO JF;AVENIDA JOÃO DOMICIANO DA COSTA,902;;CENTRO;ANDRADAS;MG;Gasolina C Comum;4,959;01/11/2018 16:53
11300950000158;AUTO POSTO JF;AVENIDA JOÃO DOMICIANO DA COSTA,902;;CENTRO;ANDRADAS;MG;Etanol;2,999;31/10/2018 11:31
11300950000158;AUTO POSTO JF;AVENIDA JOÃO DOMICIANO DA COSTA,902;;CENTRO;ANDRADAS;MG;Diesel S500;3,699;01/11/2018 16:53
11300950000158;AUTO POSTO JF;AVENIDA JOÃO DOMICIANO DA COSTA,902;;CENTRO;ANDRADAS;MG;Diesel S10;3,749;01/11/2018 16:53
11307599000127;AUTO POSTO AEROPORTO DE UBATUBA LTDA.;AVENIDA ANTONIO CARLOS RIBEIRO,0;;CENTRO;UBATUBA;SP;Gasolina C Comum;4,649;22/10/2018 09:59
11307599000127;AUTO POSTO AEROPORTO DE UBATUBA LTDA.;AVENIDA ANTONIO CARLOS RIBEIRO,0;;CENTRO;UBATUBA;SP;Etanol;2,989;22/10/2018 09:59
11307599000127;AUTO POSTO AEROPORTO DE UBATUBA LTDA.;AVENIDA ANTONIO CARLOS RIBEIRO,0;;CENTRO;UBATUBA;SP;Diesel S10;3,77;22/10/2018 09:59
11372676000122;CAMPOS DO JORDÃO AUTO POSTO LTDA.;AVENIDA FREI ORESTES GIRARDI,2057;;VILA ABERNESIA;CAMPOS DO JORDAO;SP;Gasolina C Comum;4,749;22/10/2018 10:23
